id|Cause|PFail_1day|PFail_1week|PFail_1month
0|Cause10|0.04483789449638029|0.05380547339565634|0.06456656807478761
1|Cause47|0.05495910736548362|0.06595092883858035|0.07914111460629641
2|Cause24|0.16389933263587497|0.19667919916304996|0.23601503899565995
3|Cause26|0.15103701828852156|0.18124442194622586|0.21749330633547104
4|Cause5|0.07556562705614506|0.09067875246737407|0.10881450296084888
5|Cause7|0.15759892617570798|0.18911871141084957|0.22694245369301946
6|Cause11|0.16222318952160908|0.1946678274259309|0.23360139291111706
7|Cause40|0.06559836479881863|0.07871803775858235|0.09446164531029883
8|Cause3|0.07034024775821997|0.08440829730986396|0.10128995677183675
9|Cause36|0.2503667356806566|0.3004400828167879|0.36052809938014546
10|Cause62|0.17660546297944302|0.2119265555753316|0.2543118666903979
11|Cause57|0.04917463801009736|0.05900956561211683|0.07081147873454019
12|Cause29|0.29557017483711406|0.35468420980453685|0.42562105176544424
13|Cause4|0.20594827278192965|0.24713792733831558|0.2965655128059787
14|Cause16|0.33400295873336294|0.4008035504800355|0.4809642605760426
15|Cause1|0.1959076430240741|0.2350891716288889|0.28210700595466665
16|Cause30|0.28527102519285025|0.3423252302314203|0.41079027627770437
17|Cause34|0.0143671807607727|0.01724061691292724|0.020688740295512688
18|Cause31|0.031771927366969994|0.03812631284036399|0.04575157540843679
19|Cause38|0.09577365396490062|0.11492838475788074|0.1379140617094569
20|Cause2|0.014965490767585382|0.01795858892110246|0.02155030670532295
21|Cause60|0.11581716570737695|0.13898059884885233|0.16677671861862278
22|Cause15|0.220358273290017|0.2644299279480204|0.31731591353762445
23|Cause25|0.2782406698827164|0.3338888038592597|0.4006665646311116
24|Cause115|0.06046960277959823|0.07256352333551787|0.08707622800262144
25|Cause23|0.3803412025999269|0.4564094431199122|0.5476913317438946
26|Cause14|0.07180957874915153|0.08617149449898183|0.10340579339877819
27|Cause44|0.20541288385360065|0.24649546062432076|0.2957945527491849
28|Cause12|0.14544386232910614|0.17453263479492737|0.20943916175391283
29|Cause54|0.3612353827445085|0.43348245929341017|0.5201789511520922
30|Cause45|0.12419252676984215|0.14903103212381058|0.1788372385485727
31|Cause27|0.16330461015383813|0.19596553218460575|0.2351586386215269
32|Cause50|0.21246105053502348|0.25495326064202817|0.3059439127704338
33|Cause33|0.14325924842405713|0.17191109810886854|0.20629331773064224
34|Cause35|0.16551169131382437|0.19861402957658925|0.2383368354919071
35|Cause20|0.1330055606896857|0.15960667282762284|0.1915280073931474
36|Cause56|0.06624673408523532|0.07949608090228238|0.09539529708273886
37|Cause131|0.36662476675581646|0.43994972010697975|0.5279396641283757
38|Cause109|0.17842068632174612|0.21410482358609534|0.2569257883033144
39|Cause22|0.32966767823302595|0.39560121387963115|0.4747214566555574
40|Cause42|0.16178560949114462|0.19414273138937355|0.23297127766724823
41|Cause55|0.16366004236897236|0.1963920508427668|0.23567046101132016
42|Cause64|0.14052974863978054|0.16863569836773665|0.20236283804128397
43|Cause65|0.15280139820345875|0.1833616778441505|0.2200340134129806
44|Cause92|0.2173652570778466|0.2608383084934159|0.313005970192099
45|Cause112|0.22155392554772455|0.26586471065726947|0.31903765278872337
46|Cause71|0.21455877851556565|0.25747053421867877|0.3089646410624145
47|Cause76|0.03914278021177292|0.046971336254127506|0.056365603504953
48|Cause117|0.09331850284200027|0.11198220341040033|0.13437864409248038
49|Cause111|0.2188365440979145|0.2626038529174974|0.31512462350099685
50|Cause52|0.1494085726612666|0.1792902871935199|0.21514834463222385
51|Cause58|0.19858560793263302|0.23830272951915962|0.28596327542299155
52|Cause116|0.10795018261837126|0.1295402191420455|0.15544826297045458
53|Cause118|0.08941652090618998|0.10729982508742798|0.12875979010491356
54|Cause59|0.09847441065246898|0.11816929278296277|0.14180315133955532
55|Cause28|0.3627920737152345|0.43535048845828134|0.5224205861499376
56|Cause96|0.13398977233560982|0.1607877268027318|0.19294527216327814
57|Cause72|0.10517844357356208|0.1262141322882745|0.15145695874592938
58|Cause128|0.31693139285430516|0.3803176714251662|0.4563812057101994
59|Cause95|0.398719251963473|0.4784631023561676|0.5741557228274011
60|Cause53|0.16537862981930032|0.19845435578316037|0.23814522693979243
61|Cause133|0.1752806281738747|0.2103367538086496|0.25240410457037954
62|Cause37|0.09738846828078074|0.11686616193693689|0.14023939432432425
63|Cause91|0.057100222781769176|0.06852026733812301|0.08222432080574761
64|Cause78|0.05189924090822038|0.06227908908986445|0.07473490690783734
65|Cause135|0.09590638969869275|0.1150876676384313|0.13810520116611755
66|Cause107|0.14809891911530165|0.17771870293836198|0.21326244352603438
67|Cause48|0.2507668746962218|0.3009202496354661|0.3611042995625593
68|Cause120|0.25099765370878674|0.30119718445054405|0.36143662134065285
